168,169,167,-1
181,178,134,-1
132,135,96,-1
224,214,220,-1
142,145,96,-1
178,175,131,-1
144,147,98,-1
60,122,186,1
175,175,129,-1
91,136,217,1
36,39,13,-1
124,165,228,1
232,13,241,-1
163,162,112,-1
140,177,221,1
107,213,207,-1
89,142,222,1
145,147,95,-1
68,69,25,-1
173,171,123,-1
182,179,135,-1
168,184,237,1
108,109,70,-1
229,234,237,-1
188,177,125,-1
140,139,101,-1
189,187,147,-1
175,175,129,-1
113,63,45,-1
157,161,125,-1
133,136,87,-1
77,88,126,1
75,79,37,-1
201,200,162,-1
140,140,86,-1
181,178,133,-1
55,54,40,-1
177,177,131,-1
0,0,0,-1
172,171,121,-1
178,175,130,-1
166,180,228,1
39,88,80,-1
135,166,219,1
172,169,124,-1
53,46,235,-1
68,128,188,1
3,0,2,-1
138,140,88,-1
2,0,3,-1
137,169,235,1
133,135,89,-1
123,122,71,-1
98,151,118,-1
143,164,232,1
55,61,38,-1
4,0,72,-1
166,165,114,-1
255,255,255,-1
175,175,129,-1
183,179,138,-1
152,191,253,1
184,183,139,-1
153,156,111,-1
133,131,77,-1
67,68,26,-1
178,175,130,-1
135,138,83,-1
225,112,92,-1
178,176,128,-1
9,86,165,-1
98,144,222,1
168,184,231,1
51,52,18,-1
205,203,173,-1
12,135,17,-1
125,111,152,-1
157,161,126,-1
40,90,78,-1
230,159,92,-1
177,174,129,-1
85,93,133,1
63,72,29,-1
34,33,7,-1
248,221,224,-1
163,164,114,-1
200,198,163,-1
56,61,22,-1
202,200,165,-1
119,123,81,-1
83,81,33,-1
173,173,127,-1
104,103,52,-1
157,160,121,-1
172,168,119,-1
52,52,52,-1
171,140,117,-1
164,160,112,-1
98,88,100,-1
14,14,2,-1
165,164,113,-1
160,164,129,-1
101,107,160,1
33,177,28,-1
99,146,220,1
203,200,169,-1
136,136,190,1
32,33,7,-1
167,179,227,1
75,176,231,-1
132,172,220,1
179,177,129,-1
94,93,59,-1
137,140,91,-1
85,34,14,-1
116,140,194,1
68,77,120,1
88,85,34,-1
55,59,23,-1
53,56,24,-1
50,50,32,-1
181,178,133,-1
145,146,96,-1
118,117,59,-1
38,88,141,1
78,81,32,-1
101,138,206,1
171,170,119,-1
181,177,136,-1
160,164,122,-1
178,175,131,-1
181,178,134,-1
115,152,210,1
168,166,112,-1
188,185,147,-1
158,162,126,-1
128,167,219,1
60,122,186,1
178,176,128,-1
77,81,29,-1
86,28,22,-1
201,200,162,-1
197,195,160,-1
180,178,130,-1
165,166,116,-1
137,134,83,-1
201,199,164,-1
157,191,227,1
208,167,218,-1
178,175,130,-1
89,67,246,-1
170,173,141,-1
1,1,1,-1
152,150,96,-1
126,172,220,1
20,17,2,-1
184,178,137,-1
101,95,90,-1
178,175,131,-1
199,198,160,-1
55,59,24,-1
59,62,12,-1
189,187,147,-1
138,141,92,-1
201,212,255,1
101,150,224,1
181,180,130,-1
