181,178,134
132,135,96
224,214,220
142,145,96
178,175,131
144,147,98
60,122,186
175,175,129
91,136,217
36,39,13
124,165,228
232,13,241
163,162,112
140,177,221
107,213,207
89,142,222
145,147,95
68,69,25
173,171,123
182,179,135
168,184,237
108,109,70
229,234,237
188,177,125
140,139,101
189,187,147
175,175,129
113,63,45
157,161,125
133,136,87
77,88,126
75,79,37
201,200,162
140,140,86
181,178,133
55,54,40
177,177,131
0,0,0
172,171,121
178,175,130
166,180,228
39,88,80
135,166,219
172,169,124
53,46,235
68,128,188
3,0,2
138,140,88
2,0,3
137,169,235
133,135,89
123,122,71
98,151,118
143,164,232
55,61,38
4,0,72
166,165,114
255,255,255
175,175,129
183,179,138
152,191,253
184,183,139
153,156,111
133,131,77
67,68,26
178,175,130
135,138,83
225,112,92
178,176,128
9,86,165
98,144,222
168,184,231
51,52,18
205,203,173
12,135,17
125,111,152
157,161,126
40,90,78
230,159,92
177,174,129
85,93,133
63,72,29
34,33,7
248,221,224
163,164,114
200,198,163
56,61,22
202,200,165
119,123,81
83,81,33
173,173,127
104,103,52
157,160,121
172,168,119
52,52,52
171,140,117
164,160,112
98,88,100
14,14,2
165,164,113
160,164,129
101,107,160
33,177,28
99,146,220
203,200,169
136,136,190
32,33,7
167,179,227
75,176,231
132,172,220
179,177,129
94,93,59
137,140,91
85,34,14
116,140,194
68,77,120
88,85,34
55,59,23
53,56,24
50,50,32
181,178,133
145,146,96
118,117,59
38,88,141
78,81,32
101,138,206
171,170,119
181,177,136
160,164,122
178,175,131
181,178,134
115,152,210
168,166,112
188,185,147
158,162,126
128,167,219
60,122,186
178,176,128
77,81,29
86,28,22
201,200,162
197,195,160
180,178,130
165,166,116
137,134,83
201,199,164
157,191,227
208,167,218
178,175,130
89,67,246
170,173,141
1,1,1
152,150,96
126,172,220
20,17,2
184,178,137
101,95,90
178,175,131
199,198,160
55,59,24
59,62,12
189,187,147
138,141,92
201,212,255
101,150,224
181,180,130
44,96,156
156,87,72
123,153,210
6,179,0
59,58,14
156,158,122
169,168,118
3,4,2
140,139,81
71,94,142
119,167,109
168,165,120
121,151,222
182,177,138
202,212,252
199,197,162
202,201,163
178,176,128
205,204,170
63,64,20
125,121,68
74,74,26
121,122,60
51,53,17
152,158,105
131,132,188
199,197,163
241,125,78
141,104,208
164,162,114
199,197,163
136,139,90
52,56,21
175,188,234
176,174,126
64,64,50
167,166,115
196,206,253
105,224,250
73,87,135
130,85,64
63,111,175
125,164,216
182,178,137
172,167,122
173,172,122
141,181,253
41,109,255
150,151,101
116,157,212
64,19,242
39,41,11
157,160,115
31,32,6
91,94,39
179,176,132
111,146,220
111,136,170
167,164,113
116,139,189
123,160,222
77,85,125
114,118,171
250,239,219
60,62,26
158,156,102
180,178,137
65,124,186
73,130,192
190,189,151
166,180,233
43,97,152
163,158,160
21,19,1
198,209,253
45,46,12
195,194,156
186,186,140
132,137,92
135,134,76
173,172,122
195,193,152
181,178,134
146,148,96
80,49,202
136,137,81
171,171,123
94,94,54
120,119,61
149,173,233
0,255,255
255,0,255
183,181,133
119,118,60
57,59,23
193,192,154
34,36,6
49,97,161
56,126,203
134,137,98
177,175,127
174,190,233
184,184,144
116,117,67
171,190,247
168,167,116
201,199,158
176,175,125
55,56,22
180,178,130
61,65,24
117,116,58
53,17,223
115,117,58
3,1,0
162,159,114
23,26,24
182,179,135
123,164,209
21,19,1
60,117,178
175,175,121
48,51,12
64,115,177
30,115,93
177,175,134
46,52,27
192,192,152
27,27,21
177,175,127
153,151,163
175,178,129
178,176,128
138,140,88
67,136,205
100,99,48
182,179,135
182,182,142
164,163,113
157,161,126
161,161,107
157,160,121
175,189,242
55,106,168
45,162,83
181,181,135
177,174,129
166,180,233
47,55,18
183,182,138
134,133,75
201,200,162
126,158,224
53,56,11
75,115,190
111,108,57
172,171,121
172,189,232
148,151,102
185,184,140
135,139,192
120,153,216
198,197,159
46,30,202
92,32,20
104,103,47
151,164,226
195,193,152
226,210,203
72,159,93
141,138,94
180,177,133
153,188,232
52,53,14
252,254,255
64,5,0
142,141,85
51,52,18
10,10,0
171,170,120
172,170,122
120,119,61
85,124,116
187,187,147
181,178,134
142,174,227
169,167,119
13,10,5
198,198,158
207,210,215
255,253,253
103,221,250
188,189,145
163,165,129
57,58,18
147,168,22
92,10,0
