@RELATION skin_train0


@ATTRIBUTE 0 REAL
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE class REAL


@DATA
31,31,7,-1
172,171,137,-1
178,176,128,-1
133,136,91,-1
149,94,217,-1
255,128,0,-1
178,178,132,-1
156,160,125,-1
44,47,45,-1
178,176,128,-1
39,39,25,-1
128,128,128,-1
178,175,131,-1
171,171,123,-1
128,159,228,1
151,147,98,-1
162,159,114,-1
2,0,0,-1
178,180,121,-1
182,179,135,-1
54,55,16,-1
161,165,130,-1
155,159,118,-1
253,252,255,-1
121,122,72,-1
97,98,48,-1
162,119,40,-1
120,222,217,-1
121,128,91,-1
99,148,222,1
70,72,43,-1
72,85,47,-1
122,154,225,1
74,74,26,-1
137,165,229,1
75,111,181,1
163,161,113,-1
240,159,252,-1
155,193,255,1
153,119,29,-1
198,198,158,-1
205,204,170,-1
126,159,228,1
26,81,62,-1
180,180,140,-1
172,171,121,-1
155,182,232,1
127,127,127,-1
132,136,100,-1
110,152,219,1
128,255,0,-1
178,175,130,-1
61,118,180,1
242,222,227,-1
66,68,22,-1
53,57,22,-1
114,153,215,1
173,176,137,-1
161,163,121,-1
180,177,132,-1
10,6,0,-1
0,1,1,-1
198,197,159,-1
181,181,135,-1
178,143,140,-1
170,168,137,-1
79,80,30,-1
173,173,127,-1
96,143,224,1
145,143,89,-1
227,238,246,-1
172,168,119,-1
54,55,21,-1
165,166,116,-1
177,177,131,-1
201,200,162,-1
201,199,164,-1
88,96,149,1
179,178,134,-1
152,183,120,-1
255,0,128,-1
79,78,27,-1
49,56,19,-1
197,195,160,-1
150,187,231,1
90,139,217,1
51,105,166,1
224,206,205,-1
179,176,132,-1
9,128,0,-1
63,66,27,-1
44,45,13,-1
167,163,115,-1
191,190,152,-1
153,156,154,-1
199,197,163,-1
134,55,118,-1
88,89,49,-1
172,171,121,-1
127,130,85,-1
20,17,2,-1
50,100,146,1
162,159,108,-1
121,115,120,-1
136,137,97,-1
197,207,255,1
72,181,233,-1
20,48,25,-1
177,175,127,-1
44,94,146,1
85,84,33,-1
160,176,223,1
0,185,0,-1
81,92,130,1
114,113,55,-1
7,248,255,-1
195,194,156,-1
89,65,243,-1
120,119,61,-1
15,9,2,-1
194,193,149,-1
163,162,112,-1
167,166,116,-1
63,68,23,-1
17,16,6,-1
94,125,188,1
109,113,166,1
163,161,113,-1
143,142,86,-1
153,167,233,1
92,126,196,1
241,228,226,-1
108,101,104,-1
105,150,207,1
174,173,122,-1
255,0,128,-1
176,172,123,-1
53,57,22,-1
182,179,135,-1
55,56,22,-1
61,62,28,-1
4,4,0,-1
201,200,162,-1
152,155,105,-1
204,203,169,-1
163,170,227,1
206,205,171,-1
172,169,124,-1
254,42,242,-1
205,204,170,-1
94,143,217,1
177,177,129,-1
201,200,162,-1
67,69,27,-1
51,54,9,-1
109,148,216,1
153,193,255,1
50,51,11,-1
41,97,156,1
168,164,116,-1
83,159,77,-1
174,172,124,-1
0,33,70,-1
145,148,99,-1
155,158,108,-1
173,172,122,-1
34,33,5,-1
231,160,96,-1
120,153,222,1
148,147,96,-1
50,50,14,-1
129,132,87,-1
144,143,85,-1
51,56,17,-1
173,169,120,-1
195,195,155,-1
142,162,219,1
132,135,89,-1
95,119,147,1
62,127,202,1
150,150,90,-1
65,64,38,-1
58,118,184,1
189,187,147,-1
9,0,190,-1
97,148,218,1
173,172,122,-1
13,13,1,-1
69,71,25,-1
139,136,239,-1
116,151,219,1
53,57,22,-1
81,82,32,-1
143,157,151,-1
180,179,135,-1
179,179,133,-1
35,36,26,-1
174,178,126,-1
202,201,163,-1
53,54,20,-1
62,62,22,-1
176,176,128,-1
33,35,6,-1
129,132,93,-1
57,104,155,1
164,162,114,-1
145,141,147,-1
104,225,245,-1
170,168,120,-1
98,66,30,-1
200,198,163,-1
166,180,232,1
168,165,114,-1
132,143,87,-1
61,66,21,-1
163,161,113,-1
174,172,124,-1
55,59,23,-1
177,176,132,-1
9,8,4,-1
121,141,255,-1
154,187,255,1
122,150,210,1
167,163,114,-1
36,32,3,-1
125,169,228,1
5,3,2,-1
115,116,66,-1
74,77,28,-1
64,65,21,-1
179,177,129,-1
170,184,236,1
6,4,0,-1
61,122,188,1
73,76,27,-1
177,178,136,-1
189,188,144,-1
182,178,137,-1
173,173,127,-1
186,184,144,-1
128,169,224,1
17,8,189,-1
0,0,3,-1
116,115,57,-1
199,197,163,-1
182,179,135,-1
163,178,227,1
190,188,147,-1
3,1,1,-1
32,33,7,-1
108,152,206,1
102,147,220,1
47,50,11,-1
157,161,125,-1
152,77,145,-1
140,138,84,-1
114,169,30,-1
229,214,81,-1
12,10,9,-1
47,87,135,1
200,198,163,-1
224,163,99,-1
201,199,164,-1
183,179,138,-1
98,91,152,-1
72,73,31,-1
53,57,22,-1
164,163,113,-1
104,144,216,1
171,169,121,-1
201,200,162,-1
40,80,122,1
165,179,231,1
51,53,17,-1
138,139,89,-1
119,174,135,-1
181,182,140,-1
49,49,33,-1
14,5,1,-1
4,5,1,-1
145,183,255,1
115,144,218,1
51,40,240,-1
174,143,98,-1
166,180,228,1
143,141,87,-1
119,122,73,-1
185,183,135,-1
160,174,223,1
10,8,0,-1
170,168,120,-1
3,1,0,-1
97,129,182,1
185,175,141,-1
79,87,127,1
